year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2025,PHL,Philippines,PH,REGION X (NORTHERN MINDANAO),PH100000000,Lanao del Norte,PH103500000,574959,580445,1155404,59623,58343,55930,57733,51740,48019,46267,37658,31741,28119,25083,22597,18147,13796,9445,5745,4973,63060,59852,56580,57694,57499,55087,48161,36868,30030,26886,23561,21186,16875,12326,7893,4141,2746,122683,118195,112510,115427,109239,103106,94428,74526,61771,55005,48644,43783,35022,26122,17338,9886,7719
2025,PHL,Philippines,PH,REGION X (NORTHERN MINDANAO),PH100000000,Misamis Occidental,PH104200000,317986,328326,646312,30376,30828,30567,28387,24964,24431,24341,20306,16867,16207,15374,14449,12542,10130,7534,5111,5572,32131,31681,31042,29812,29326,29190,27080,21559,17225,16624,15126,14476,11857,8880,5951,3461,2905,62507,62509,61609,58199,54290,53621,51421,41865,34092,32831,30500,28925,24399,19010,13485,8572,8477
2025,PHL,Philippines,PH,REGION X (NORTHERN MINDANAO),PH100000000,Misamis Oriental,PH104300000,886207,905960,1792167,80227,81775,80956,77868,73030,70254,72664,64868,53408,48632,42739,38766,33330,26890,18812,11521,10467,84900,83927,81841,80471,84707,80808,76148,66318,53523,48464,42306,37377,31365,24025,15728,8321,5731,165127,165702,162797,158339,157737,151062,148812,131186,106931,97096,85045,76143,64695,50915,34540,19842,16198
2025,PHL,Philippines,PH,REGION XI (DAVAO REGION),PH110000000,Compostela Valley,PH118200000,387948,415628,803576,40051,39878,38182,33569,33073,32923,33005,27422,21615,18516,17277,15796,12690,9814,6566,3947,3624,42402,41296,39092,37458,40334,35696,34541,29939,23798,20933,18576,16766,13294,9443,5972,3492,2596,82453,81174,77274,71027,73407,68619,67546,57361,45413,39449,35853,32562,25984,19257,12538,7439,6220
2025,PHL,Philippines,PH,REGION XI (DAVAO REGION),PH110000000,Davao del Norte,PH112300000,532531,554573,1087104,50797,52667,52703,45939,42047,40879,43258,39812,33059,29138,24969,21933,18522,14985,10578,6004,5241,53740,54360,53698,50595,52120,45426,42730,39602,34062,30341,26012,22178,17995,13754,9149,5182,3629,104537,107027,106401,96534,94167,86305,85988,79414,67121,59479,50981,44111,36517,28739,19727,11186,8870
2025,PHL,Philippines,PH,REGION XI (DAVAO REGION),PH110000000,Davao del Sur,PH112400000,1386781,1423794,2810575,133643,134952,134492,124227,116759,109848,110416,98421,83060,73465,64944,56742,47791,39157,27528,16852,14484,141423,145906,146358,121233,109972,113439,113783,106507,90478,80771,69145,57401,46020,35769,23843,12860,8886,275066,280858,280850,245460,226731,223287,224199,204928,173538,154236,134089,114143,93811,74926,51371,29712,23370
2025,PHL,Philippines,PH,REGION XI (DAVAO REGION),PH110000000,Davao Occidental,PH118600000,175910,180608,356518,16952,17118,17060,15758,14811,13934,14006,12485,10536,9319,8238,7198,6063,4967,3491,2137,1837,17940,18509,18566,15378,13950,14390,14433,13510,11477,10246,8771,7281,5838,4537,3024,1631,1127,34892,35627,35626,31136,28761,28324,28439,25995,22013,19565,17009,14479,11901,9504,6515,3768,2964
2025,PHL,Philippines,PH,REGION XI (DAVAO REGION),PH110000000,Davao Oriental,PH112500000,307805,325605,633410,34860,34184,32522,28545,25290,25858,23211,18630,14731,14113,13046,12132,10285,7965,5454,3640,3339,36887,35239,33138,31730,30679,28625,24547,19837,16127,15092,13753,12428,10100,7411,4715,2985,2312,71747,69423,65660,60275,55969,54483,47758,38467,30858,29205,26799,24560,20385,15376,10169,6625,5651
2025,PHL,Philippines,PH,REGION XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,806455,836873,1643328,86201,85245,81911,77682,69125,68118,65244,52441,44381,38233,35750,30917,25206,18321,12441,7923,7316,91193,90067,86386,78123,73407,72135,67638,56470,46894,41497,36953,31825,24512,17689,11086,6209,4789,177394,175312,168297,155805,142532,140253,132882,108911,91275,79730,72703,62742,49718,36010,23527,14132,12105
2025,PHL,Philippines,PH,REGION XII (SOCCSKSARGEN),PH120000000,COTABATO CITY (Not a Province),PH129800000,161445,155781,317226,16455,16840,16669,13874,13850,13659,13916,11308,10299,8473,8080,6134,4597,3090,1896,1297,1008,17397,17739,17475,13729,13901,13205,12310,10092,9000,7671,6878,5924,4432,2853,1622,972,581,33852,34579,34144,27603,27751,26864,26226,21400,19299,16144,14958,12058,9029,5943,3518,2269,1589
